model,dataset,mse,mae
etth1_timerxl_ada_desta,ETTh1,NA,NA
etth1_timerxl_adanorm,ETTh1,NA,NA
etth1_timerxl_base,ETTh1,0.05390408635139465,0.1760125756263733
etth1_timerxl_revin,ETTh1,NA,NA
etth1_timerxl_unica_post,ETTh1,0.053582578897476196,0.17522165179252625
etthm1_timerxl_moe_safe,ETTm1,NA,NA
etthm1_timerxl_unica_post,ETTm1,NA,NA
etthm1_timerxl_unica_resadd,ETTm1,NA,NA
ettm1_moe_lb,ETTm1,NA,NA
ettm1_timerxl_ada_desta,ETTm1,NA,NA
ettm1_timerxl_adanorm,ETTm1,NA,NA
ettm1_timerxl_base,ETTm1,NA,NA
ettm1_timerxl_ci_unica,ETTm1,NA,NA
ettm1_timerxl_moe_safe,ETTm1,NA,NA
ettm1_timerxl_revin,ETTm1,NA,NA
ettm1_timerxl_unica_post,ETTm1,NA,NA
ettm1_timerxl_unica_resadd,ETTm1,NA,NA
w_base,Weather,0.7035961747169495,0.6329647302627563
w_base_fix,Weather,0.16355137526988983,0.30301618576049805
weather_moe_safe,Weather,NA,NA
weather_timerxl_adanorm,Weather,NA,NA
weather_timerxl_base,Weather,NA,NA
weather_timerxl_ci_unica,Weather,NA,NA
weather_timerxl_plain,Weather,NA,NA
weather_timerxl_revin,Weather,NA,NA
weather_timerxl_unica_post,Weather,0.19299131631851196,0.3271288275718689
weather_timerxl_unica_resadd,Weather,NA,NA
w_moe,Weather,0.18006795644760132,0.31574422121047974
w_moe_lb,Weather,0.17702923715114594,0.31560975313186646
w_unica,Weather,0.16662967205047607,0.30351096391677856
w_unica_revin,Weather,0.1910688281059265,0.3248404860496521
w_ur,Weather,0.1910688281059265,0.3248404860496521
